STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVGF,TAVG_ATTRIBUTES,TMAXF,TMAX_ATTRIBUTES,TMINF,TMIN_ATTRIBUTES,,,TAVG,TMAX,TMIN
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/11/23,55,"H,,S",72,",,S",,,,,13,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/11/24,55,"H,,S",69,",,S",46,",,S",,,13,21,8
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/11/25,55,"H,,S",69,",,S",,,,,13,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/11/26,54,"H,,S",71,",,S",,,,,12,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/11/27,54,"H,,S",71,",,S",,,,,12,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/11/28,51,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/11/29,51,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/11/30,51,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/1,53,"H,,S",64,",,S",,,,,12,18,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/2,51,"H,,S",65,",,S",,,,,11,18,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/3,44,"H,,S",65,",,S",,,,,7,18,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/4,45,"H,,S",57,",,S",,,,,7,14,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/5,50,"H,,S",62,",,S",44,",,S",,,10,17,7
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/6,49,"H,,S",63,",,S",,,,,9,17,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/7,48,"H,,S",63,",,S",,,,,9,17,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/8,49,"H,,S",62,",,S",42,",,S",,,9,17,6
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/9,51,"H,,S",65,",,S",,,,,11,18,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/10,52,"H,,S",65,",,S",43,",,S",,,11,18,6
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/11,53,"H,,S",70,",,S",,,,,12,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/12,56,"H,,S",70,",,S",43,",,S",,,13,21,6
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/13,55,"H,,S",71,",,S",,,,,13,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/14,57,"H,,S",71,",,S",,,,,14,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/15,57,"H,,S",70,",,S",45,",,S",,,14,21,7
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/16,58,"H,,S",70,",,S",49,",,S",,,14,21,9
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/12/17,55,"H,,S",70,",,S",,,,,13,21,
